,sofifa_id,club_15,overall_15,passing_15,defending_15,pace_15,shooting_15,physic_15,club_16,overall_16,passing_16,defending_16,pace_16,shooting_16,physic_16,club_17,overall_17,passing_17,defending_17,pace_17,shooting_17,physic_17,club_18,overall_18,passing_18,defending_18,pace_18,shooting_18,physic_18,club_19,overall_19,passing_19,defending_19,pace_19,shooting_19,physic_19,club_20,overall_20,passing_20,defending_20,pace_20,shooting_20,physic_20
10,173731,Real Madrid,87.0,83.0,63.0,94.0,83.0,81.0,Real Madrid,87.0,82.0,63.0,94.0,83.0,81.0,Real Madrid,90.0,84.0,57.0,94.0,87.0,76.0,Real Madrid,89.0,84.0,57.0,94.0,87.0,76.0,Real Madrid,88.0,84.0,58.0,95.0,88.0,76.0,Real Madrid,85.0,82.0,58.0,91.0,87.0,76.0
11,188545,FC Bayern München,87.0,74.0,39.0,80.0,84.0,78.0,FC Bayern München,87.0,74.0,38.0,80.0,85.0,80.0,FC Bayern München,90.0,74.0,38.0,81.0,87.0,82.0,FC Bayern München,91.0,75.0,38.0,81.0,88.0,82.0,FC Bayern München,90.0,75.0,41.0,78.0,89.0,82.0,FC Bayern München,89.0,74.0,41.0,77.0,87.0,82.0
12,121939,FC Bayern München,87.0,84.0,87.0,76.0,56.0,67.0,FC Bayern München,87.0,84.0,87.0,75.0,56.0,66.0,FC Bayern München,88.0,82.0,86.0,68.0,56.0,64.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,155862,Real Madrid,87.0,71.0,87.0,79.0,61.0,82.0,Real Madrid,87.0,72.0,87.0,79.0,63.0,81.0,Real Madrid,89.0,70.0,87.0,78.0,63.0,83.0,Real Madrid,90.0,71.0,88.0,76.0,63.0,83.0,Real Madrid,91.0,71.0,91.0,75.0,63.0,84.0,Real Madrid,89.0,75.0,87.0,72.0,68.0,85.0
14,164240,Paris Saint-Germain,87.0,72.0,90.0,78.0,57.0,80.0,Paris Saint-Germain,88.0,73.0,90.0,74.0,57.0,79.0,Paris Saint-Germain,89.0,73.0,90.0,74.0,57.0,79.0,Paris Saint-Germain,88.0,73.0,89.0,72.0,56.0,79.0,Paris Saint-Germain,88.0,73.0,88.0,71.0,54.0,79.0,Paris Saint-Germain,87.0,72.0,87.0,62.0,54.0,78.0
15,168542,Manchester City,87.0,86.0,33.0,76.0,77.0,57.0,Manchester City,88.0,89.0,32.0,73.0,74.0,59.0,Manchester City,87.0,87.0,32.0,68.0,72.0,59.0,Manchester City,87.0,87.0,38.0,68.0,72.0,61.0,Manchester City,89.0,87.0,50.0,66.0,74.0,60.0,Manchester City,88.0,88.0,52.0,65.0,74.0,57.0
16,177003,Real Madrid,87.0,85.0,71.0,76.0,74.0,70.0,Real Madrid,87.0,84.0,71.0,76.0,75.0,68.0,Real Madrid,89.0,86.0,72.0,74.0,75.0,66.0,Real Madrid,89.0,86.0,72.0,73.0,75.0,65.0,Real Madrid,91.0,90.0,70.0,76.0,76.0,67.0,Real Madrid,90.0,89.0,72.0,74.0,76.0,66.0
17,198710,Real Madrid,86.0,84.0,40.0,79.0,80.0,72.0,Real Madrid,87.0,85.0,43.0,78.0,86.0,72.0,Real Madrid,87.0,85.0,40.0,76.0,85.0,68.0,FC Bayern München,86.0,85.0,40.0,76.0,85.0,68.0,FC Bayern München,88.0,88.0,50.0,72.0,86.0,67.0,Real Madrid,85.0,87.0,50.0,55.0,86.0,63.0
18,190871,FC Barcelona,86.0,72.0,30.0,90.0,80.0,58.0,FC Barcelona,88.0,72.0,30.0,90.0,80.0,57.0,FC Barcelona,92.0,78.0,30.0,91.0,84.0,56.0,Paris Saint-Germain,92.0,79.0,30.0,92.0,84.0,60.0,Paris Saint-Germain,92.0,83.0,32.0,92.0,84.0,59.0,Paris Saint-Germain,92.0,87.0,32.0,91.0,85.0,58.0
19,178603,Borussia Dortmund,86.0,75.0,88.0,66.0,59.0,78.0,Borussia Dortmund,86.0,74.0,88.0,64.0,58.0,77.0,FC Bayern München,87.0,74.0,88.0,64.0,58.0,77.0,FC Bayern München,88.0,75.0,89.0,64.0,58.0,76.0,FC Bayern München,89.0,76.0,90.0,65.0,58.0,76.0,Borussia Dortmund,87.0,76.0,89.0,51.0,58.0,76.0
20,183898,Manchester United,86.0,83.0,57.0,90.0,79.0,71.0,Paris Saint-Germain,85.0,83.0,49.0,88.0,79.0,70.0,Paris Saint-Germain,87.0,84.0,47.0,87.0,79.0,70.0,Paris Saint-Germain,85.0,82.0,47.0,86.0,77.0,68.0,Paris Saint-Germain,84.0,82.0,47.0,85.0,76.0,66.0,Paris Saint-Germain,86.0,84.0,48.0,84.0,79.0,68.0
21,188350,Borussia Dortmund,86.0,84.0,33.0,91.0,86.0,65.0,Borussia Dortmund,86.0,85.0,39.0,90.0,84.0,64.0,Borussia Dortmund,88.0,84.0,40.0,90.0,85.0,63.0,Borussia Dortmund,86.0,84.0,39.0,88.0,87.0,64.0,Borussia Dortmund,85.0,82.0,44.0,85.0,86.0,64.0,Borussia Dortmund,88.0,84.0,45.0,85.0,88.0,66.0
22,189596,FC Bayern München,86.0,82.0,46.0,81.0,84.0,72.0,FC Bayern München,86.0,80.0,46.0,77.0,84.0,72.0,FC Bayern München,87.0,77.0,46.0,78.0,83.0,72.0,FC Bayern München,86.0,77.0,46.0,77.0,82.0,71.0,FC Bayern München,86.0,80.0,50.0,74.0,83.0,71.0,FC Bayern München,86.0,79.0,55.0,72.0,83.0,71.0
23,153079,Manchester City,86.0,77.0,28.0,88.0,86.0,66.0,Manchester City,87.0,77.0,23.0,89.0,87.0,68.0,Manchester City,89.0,75.0,23.0,89.0,88.0,70.0,Manchester City,89.0,75.0,23.0,87.0,88.0,72.0,Manchester City,89.0,76.0,28.0,84.0,89.0,73.0,Manchester City,89.0,77.0,33.0,80.0,90.0,74.0
24,176635,Arsenal,86.0,86.0,27.0,74.0,74.0,58.0,Arsenal,87.0,85.0,24.0,72.0,74.0,57.0,Arsenal,89.0,87.0,24.0,72.0,74.0,58.0,Arsenal,88.0,87.0,24.0,71.0,74.0,58.0,Arsenal,86.0,86.0,24.0,70.0,73.0,58.0,Arsenal,84.0,86.0,24.0,70.0,72.0,56.0
25,10535,FC Barcelona,86.0,91.0,60.0,66.0,72.0,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,20289,Manchester City,86.0,81.0,80.0,76.0,82.0,90.0,Manchester City,85.0,81.0,70.0,76.0,83.0,86.0,Manchester City,84.0,81.0,69.0,74.0,83.0,84.0,Manchester City,83.0,80.0,70.0,63.0,82.0,83.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,54050,Manchester United,86.0,80.0,44.0,76.0,87.0,87.0,Manchester United,86.0,81.0,47.0,75.0,86.0,87.0,Manchester United,84.0,81.0,53.0,71.0,84.0,86.0,Everton,81.0,81.0,52.0,68.0,81.0,81.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,139720,Manchester City,86.0,69.0,87.0,73.0,56.0,81.0,Manchester City,85.0,62.0,86.0,69.0,54.0,81.0,Manchester City,86.0,62.0,86.0,69.0,54.0,81.0,Manchester City,85.0,65.0,84.0,63.0,54.0,83.0,Manchester City,85.0,65.0,85.0,56.0,54.0,81.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,192318,FC Bayern München,85.0,82.0,35.0,80.0,74.0,63.0,FC Bayern München,84.0,81.0,32.0,72.0,73.0,62.0,Borussia Dortmund,84.0,78.0,31.0,70.0,70.0,61.0,Borussia Dortmund,81.0,81.0,38.0,68.0,72.0,62.0,Borussia Dortmund,82.0,83.0,59.0,69.0,73.0,67.0,Borussia Dortmund,82.0,85.0,56.0,71.0,78.0,70.0
30,189511,FC Barcelona,85.0,78.0,81.0,56.0,59.0,81.0,FC Barcelona,86.0,78.0,83.0,53.0,59.0,81.0,FC Barcelona,87.0,79.0,83.0,42.0,59.0,81.0,FC Barcelona,86.0,79.0,82.0,40.0,59.0,81.0,FC Barcelona,88.0,79.0,85.0,43.0,62.0,80.0,FC Barcelona,89.0,80.0,85.0,42.0,62.0,80.0
31,182521,Real Madrid,85.0,89.0,58.0,58.0,81.0,69.0,Real Madrid,87.0,88.0,66.0,56.0,81.0,69.0,Real Madrid,88.0,88.0,69.0,45.0,80.0,70.0,Real Madrid,90.0,89.0,73.0,56.0,81.0,70.0,Real Madrid,90.0,89.0,74.0,67.0,82.0,69.0,Real Madrid,88.0,90.0,70.0,45.0,80.0,69.0
32,165153,Real Madrid,85.0,75.0,30.0,84.0,84.0,74.0,Real Madrid,86.0,76.0,22.0,83.0,84.0,75.0,Real Madrid,87.0,77.0,22.0,81.0,84.0,74.0,Real Madrid,86.0,77.0,22.0,78.0,84.0,74.0,Real Madrid,84.0,76.0,32.0,76.0,79.0,75.0,Real Madrid,87.0,80.0,39.0,76.0,82.0,77.0
33,179813,Paris Saint-Germain,85.0,70.0,41.0,79.0,83.0,81.0,Paris Saint-Germain,85.0,71.0,42.0,76.0,83.0,80.0,Paris Saint-Germain,85.0,71.0,42.0,76.0,83.0,80.0,Paris Saint-Germain,87.0,72.0,42.0,77.0,83.0,81.0,Paris Saint-Germain,89.0,72.0,52.0,76.0,87.0,83.0,Paris Saint-Germain,88.0,72.0,55.0,75.0,86.0,83.0
34,179844,Chelsea,85.0,63.0,40.0,82.0,83.0,88.0,Chelsea,86.0,63.0,40.0,82.0,83.0,88.0,Chelsea,85.0,63.0,40.0,75.0,82.0,88.0,Chelsea,86.0,65.0,40.0,75.0,83.0,88.0,Atlético Madrid,85.0,64.0,49.0,75.0,83.0,87.0,Atlético Madrid,83.0,64.0,49.0,73.0,82.0,85.0
35,181872,Juventus,85.0,80.0,81.0,78.0,78.0,83.0,FC Bayern München,86.0,80.0,83.0,77.0,79.0,83.0,FC Bayern München,87.0,80.0,84.0,77.0,81.0,84.0,FC Bayern München,87.0,80.0,83.0,75.0,81.0,84.0,FC Barcelona,85.0,79.0,84.0,57.0,80.0,83.0,FC Barcelona,84.0,80.0,85.0,67.0,79.0,86.0
36,177610,FC Bayern München,85.0,72.0,84.0,53.0,61.0,85.0,FC Bayern München,84.0,71.0,84.0,52.0,61.0,79.0,FC Bayern München,84.0,70.0,84.0,52.0,61.0,78.0,FC Bayern München,86.0,69.0,86.0,50.0,60.0,80.0,FC Bayern München,84.0,70.0,86.0,51.0,55.0,83.0,FC Bayern München,84.0,69.0,86.0,48.0,55.0,83.0
37,178088,Manchester United,85.0,84.0,31.0,74.0,75.0,60.0,Manchester United,84.0,84.0,27.0,71.0,75.0,55.0,Manchester United,84.0,84.0,32.0,68.0,75.0,54.0,Manchester United,84.0,84.0,32.0,67.0,76.0,54.0,Manchester United,83.0,84.0,37.0,65.0,76.0,50.0,Manchester United,82.0,83.0,36.0,62.0,74.0,47.0
38,183907,FC Bayern München,85.0,66.0,83.0,77.0,50.0,82.0,FC Bayern München,87.0,69.0,87.0,79.0,50.0,84.0,FC Bayern München,90.0,72.0,90.0,79.0,50.0,85.0,FC Bayern München,88.0,72.0,88.0,75.0,50.0,84.0,FC Bayern München,86.0,72.0,85.0,73.0,50.0,83.0,FC Bayern München,84.0,72.0,84.0,66.0,50.0,82.0
39,143001,Juventus,85.0,78.0,46.0,86.0,86.0,84.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,152729,FC Barcelona,84.0,69.0,86.0,66.0,54.0,76.0,FC Barcelona,85.0,70.0,86.0,64.0,61.0,76.0,FC Barcelona,86.0,70.0,86.0,61.0,61.0,76.0,FC Barcelona,87.0,69.0,86.0,65.0,61.0,76.0,FC Barcelona,87.0,69.0,87.0,55.0,61.0,76.0,FC Barcelona,88.0,72.0,88.0,56.0,61.0,80.0
41,143745,Atlético Madrid,84.0,83.0,61.0,76.0,74.0,72.0,FC Barcelona,83.0,82.0,61.0,75.0,74.0,73.0,FC Barcelona,84.0,83.0,61.0,73.0,74.0,73.0,FC Barcelona,82.0,81.0,61.0,71.0,73.0,72.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,184941,Arsenal,84.0,75.0,39.0,88.0,81.0,66.0,Arsenal,86.0,78.0,39.0,87.0,83.0,73.0,Arsenal,87.0,79.0,39.0,86.0,82.0,75.0,Arsenal,89.0,80.0,40.0,86.0,84.0,78.0,Manchester United,87.0,79.0,45.0,82.0,83.0,77.0,Manchester United,82.0,77.0,44.0,81.0,78.0,73.0
43,188152,Chelsea,84.0,80.0,43.0,81.0,75.0,44.0,Chelsea,84.0,81.0,43.0,79.0,75.0,47.0,Chelsea,83.0,79.0,43.0,77.0,75.0,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,165239,Manchester City,84.0,84.0,39.0,79.0,76.0,60.0,Manchester City,83.0,83.0,38.0,81.0,76.0,58.0,Sevilla FC,82.0,81.0,38.0,78.0,76.0,57.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,177509,FC Bayern München,84.0,54.0,88.0,75.0,45.0,84.0,FC Bayern München,84.0,54.0,86.0,65.0,44.0,83.0,Juventus,83.0,54.0,83.0,67.0,44.0,81.0,Juventus,84.0,54.0,85.0,74.0,42.0,82.0,Juventus,86.0,54.0,87.0,70.0,45.0,85.0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,179846,Real Madrid,84.0,74.0,83.0,56.0,69.0,86.0,Juventus,83.0,73.0,83.0,62.0,70.0,86.0,Juventus,83.0,78.0,81.0,66.0,76.0,85.0,Juventus,84.0,80.0,80.0,64.0,74.0,84.0,Juventus,85.0,80.0,81.0,57.0,76.0,83.0,Juventus,83.0,78.0,80.0,51.0,74.0,80.0
47,167664,Napoli,84.0,68.0,30.0,81.0,84.0,71.0,Napoli,84.0,68.0,22.0,80.0,85.0,71.0,Juventus,88.0,68.0,24.0,80.0,87.0,75.0,Juventus,90.0,70.0,25.0,79.0,87.0,74.0,Milan,88.0,70.0,31.0,73.0,87.0,74.0,Juventus,85.0,71.0,31.0,63.0,85.0,71.0
48,7763,Juventus,84.0,91.0,55.0,43.0,69.0,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,45197,FC Bayern München,84.0,86.0,78.0,55.0,71.0,72.0,FC Bayern München,84.0,88.0,76.0,33.0,69.0,70.0,FC Bayern München,84.0,87.0,76.0,33.0,70.0,71.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,53302,Roma,84.0,79.0,82.0,68.0,71.0,84.0,Roma,83.0,74.0,83.0,68.0,66.0,84.0,Roma,83.0,73.0,81.0,69.0,64.0,82.0,Roma,83.0,73.0,81.0,68.0,64.0,82.0,Roma,83.0,73.0,85.0,65.0,63.0,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,138956,Juventus,84.0,55.0,87.0,76.0,51.0,86.0,Juventus,87.0,56.0,90.0,77.0,47.0,84.0,Juventus,88.0,53.0,90.0,74.0,46.0,85.0,Juventus,89.0,56.0,90.0,74.0,46.0,85.0,Juventus,89.0,56.0,91.0,69.0,46.0,82.0,Juventus,89.0,58.0,90.0,68.0,46.0,82.0
52,146562,Arsenal,84.0,85.0,31.0,73.0,78.0,61.0,Arsenal,85.0,85.0,57.0,73.0,78.0,64.0,Arsenal,86.0,85.0,57.0,71.0,78.0,64.0,Arsenal,83.0,85.0,61.0,65.0,76.0,63.0,Villarreal CF,80.0,85.0,60.0,51.0,74.0,54.0,Villarreal CF,82.0,85.0,65.0,56.0,73.0,58.0
53,148803,FC Schalke 04,84.0,64.0,32.0,68.0,85.0,73.0,FC Schalke 04,82.0,64.0,32.0,66.0,84.0,72.0,FC Schalke 04,81.0,64.0,32.0,66.0,82.0,73.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,162895,Chelsea,84.0,88.0,64.0,68.0,79.0,63.0,Chelsea,87.0,90.0,64.0,63.0,78.0,65.0,Chelsea,86.0,89.0,61.0,63.0,77.0,64.0,Chelsea,86.0,88.0,61.0,63.0,77.0,64.0,Chelsea,84.0,88.0,60.0,55.0,74.0,58.0,AS Monaco,81.0,87.0,60.0,53.0,73.0,56.0
55,182493,Atlético Madrid,84.0,62.0,86.0,67.0,48.0,78.0,Atlético Madrid,85.0,63.0,87.0,70.0,48.0,78.0,Atlético Madrid,88.0,65.0,88.0,65.0,48.0,79.0,Atlético Madrid,88.0,65.0,88.0,65.0,48.0,78.0,Atlético Madrid,90.0,65.0,89.0,68.0,48.0,84.0,Inter,88.0,64.0,89.0,60.0,48.0,83.0
56,195864,Juventus,83.0,79.0,73.0,76.0,78.0,88.0,Juventus,86.0,82.0,74.0,77.0,80.0,88.0,Manchester United,88.0,83.0,72.0,77.0,80.0,87.0,Manchester United,87.0,84.0,68.0,74.0,79.0,88.0,Manchester United,88.0,86.0,69.0,75.0,79.0,87.0,Manchester United,88.0,86.0,66.0,74.0,81.0,86.0
57,197781,Real Madrid,83.0,82.0,32.0,76.0,76.0,62.0,Real Madrid,84.0,81.0,40.0,75.0,76.0,63.0,Real Madrid,84.0,80.0,39.0,72.0,75.0,62.0,Real Madrid,86.0,82.0,54.0,71.0,83.0,62.0,Real Madrid,89.0,85.0,61.0,72.0,81.0,62.0,Real Madrid,86.0,83.0,59.0,71.0,77.0,60.0
58,186942,Borussia Dortmund,83.0,83.0,67.0,79.0,70.0,70.0,Borussia Dortmund,82.0,82.0,63.0,75.0,71.0,72.0,Manchester City,85.0,84.0,63.0,75.0,72.0,72.0,Manchester City,85.0,83.0,64.0,71.0,74.0,71.0,Manchester City,84.0,83.0,69.0,68.0,74.0,70.0,Manchester City,84.0,84.0,72.0,66.0,74.0,71.0
59,193082,Fiorentina,83.0,76.0,57.0,93.0,77.0,71.0,Juventus,82.0,75.0,54.0,93.0,77.0,71.0,Juventus,82.0,73.0,50.0,92.0,75.0,68.0,Juventus,82.0,75.0,61.0,91.0,74.0,65.0,Juventus,84.0,77.0,66.0,91.0,74.0,69.0,Juventus,83.0,77.0,66.0,91.0,72.0,67.0
60,171833,Liverpool,83.0,69.0,29.0,89.0,82.0,70.0,Liverpool,83.0,69.0,25.0,89.0,83.0,70.0,Liverpool,84.0,69.0,25.0,89.0,83.0,70.0,Liverpool,82.0,69.0,25.0,76.0,82.0,68.0,Liverpool,80.0,68.0,23.0,75.0,81.0,63.0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,180206,Roma,83.0,85.0,63.0,72.0,75.0,66.0,Roma,84.0,85.0,63.0,72.0,75.0,66.0,Juventus,85.0,86.0,64.0,74.0,75.0,68.0,Juventus,85.0,86.0,67.0,74.0,71.0,69.0,Juventus,86.0,86.0,73.0,66.0,70.0,69.0,Juventus,86.0,87.0,75.0,68.0,68.0,67.0
62,186561,Arsenal,83.0,79.0,70.0,71.0,78.0,77.0,Arsenal,82.0,79.0,68.0,69.0,78.0,76.0,Arsenal,84.0,80.0,68.0,69.0,77.0,76.0,Arsenal,82.0,79.0,65.0,68.0,75.0,75.0,Arsenal,82.0,79.0,67.0,67.0,76.0,74.0,Juventus,83.0,79.0,68.0,68.0,77.0,74.0
63,189505,FC Barcelona,83.0,78.0,37.0,83.0,76.0,60.0,Chelsea,83.0,77.0,37.0,82.0,76.0,62.0,Chelsea,83.0,77.0,37.0,82.0,76.0,62.0,Chelsea,84.0,77.0,37.0,82.0,77.0,62.0,Chelsea,82.0,77.0,43.0,76.0,77.0,56.0,Chelsea,82.0,77.0,43.0,75.0,77.0,56.0
64,170890,Paris Saint-Germain,83.0,76.0,84.0,78.0,67.0,82.0,Paris Saint-Germain,84.0,77.0,83.0,75.0,67.0,81.0,Paris Saint-Germain,86.0,78.0,83.0,79.0,67.0,84.0,Juventus,85.0,77.0,83.0,78.0,67.0,84.0,Juventus,85.0,77.0,83.0,78.0,68.0,83.0,Juventus,85.0,76.0,83.0,75.0,66.0,81.0
65,168651,FC Barcelona,83.0,87.0,55.0,69.0,82.0,67.0,FC Barcelona,84.0,86.0,56.0,68.0,82.0,67.0,FC Barcelona,87.0,86.0,59.0,66.0,84.0,66.0,FC Barcelona,87.0,86.0,60.0,65.0,84.0,66.0,FC Barcelona,87.0,87.0,72.0,62.0,84.0,69.0,FC Barcelona,86.0,86.0,74.0,62.0,81.0,70.0
66,173221,Lazio,83.0,82.0,57.0,85.0,79.0,74.0,Lazio,83.0,82.0,45.0,86.0,81.0,74.0,Inter,81.0,80.0,56.0,81.0,80.0,73.0,Inter,80.0,77.0,56.0,78.0,80.0,71.0,Inter,81.0,78.0,61.0,78.0,79.0,71.0,Inter,79.0,76.0,61.0,74.0,78.0,67.0
67,13732,Chelsea,83.0,56.0,84.0,41.0,47.0,80.0,Chelsea,85.0,57.0,87.0,34.0,47.0,81.0,Chelsea,84.0,57.0,86.0,34.0,47.0,80.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,53612,Arsenal,83.0,57.0,87.0,31.0,41.0,76.0,Arsenal,83.0,57.0,88.0,31.0,41.0,75.0,Arsenal,83.0,56.0,88.0,27.0,41.0,75.0,Arsenal,81.0,55.0,85.0,27.0,41.0,70.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,112253,AS Monaco,83.0,77.0,79.0,53.0,50.0,82.0,AS Monaco,82.0,76.0,79.0,50.0,50.0,81.0,FC Girondins de Bordeaux,83.0,76.0,79.0,50.0,50.0,81.0,FC Girondins de Bordeaux,78.0,73.0,76.0,37.0,46.0,78.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,120533,Real Madrid,83.0,58.0,84.0,73.0,51.0,83.0,Real Madrid,84.0,58.0,86.0,73.0,51.0,82.0,Real Madrid,88.0,56.0,88.0,71.0,51.0,81.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,137186,Juventus,83.0,58.0,86.0,75.0,36.0,79.0,Juventus,84.0,55.0,88.0,75.0,36.0,77.0,Juventus,86.0,56.0,89.0,75.0,37.0,79.0,Juventus,85.0,57.0,88.0,71.0,34.0,73.0,Juventus,84.0,57.0,89.0,68.0,34.0,72.0,0,0.0,0.0,0.0,0.0,0.0,0.0
